개방시설명,개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,사용안내전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명
오산종합운동장,오산종합운동장,다목적경기장,연중무휴,8:00,22:00,8:00,22:00,Y,,"5328",음향 장비,방문,,경기도 오산시 경기동로 15,경기도 오산시 오산동 49,경기도 오산시시설관리공단,031-371-1880,37.1567621,127.0731398,2021/03/02,"4000000",경기도 오산시
죽미체육공원 다목적체육관,다목적체육관,체육관,"명절연휴(설, 추석)",6:00,22:00,8:00,22:00,Y,,"1495",조명+냉/난방+음향장비,방문+팩스+이메일,,경기도 오산시 수청로 204-26,경기도 오산시 금암동 508,경기도 오산시시설관리공단,031-378-9833,37.17918335,127.0437601,2021/03/02,"4000000",경기도 오산시
죽미체육공원 다목적운동장,다목적운동장,축구장,"명절연휴(설, 추석)",6:00,22:00,8:00,22:00,Y,,"4292",조명,방문+팩스+이메일,,,경기도 오산시 세교동 619,경기도 오산시시설관리공단,031-378-9833,37.181042,127.045747,2021/03/02,"4000000",경기도 오산시
비봉인공습지 축구장,비봉인공습지,축구장,N,6:00,22:00,6:00,22:00,Y,,"390",,,,,경기도 화성시 유포리인공습지,화성도시공사,,37.169355,126.884568,2020/05/24,"5530000",경기도 화성시
군산시농업인회관,3층,체육관,매주 주말,9:00,18:00,0:00,0:00,N,"10",,,방문,,전라북도 군산시 개정면 운회길 32,전라북도 군산시 개정면 운회리 633-7,전라북도 군산시청,063-454-2836,35.960468,126.781958,2021/03/22,"4670000",전라북도 군산시
실내체육관주경기장,실내체육관,체육관,연중무휴,6:00,18:00,6:00,22:00,Y,,,,,,부산광역시 동래구 사직로 55-32,,부산광역시 체육시설관리사업소,051-500-2121,35.192311,129.060682,2021/03/23,"6260000",부산광역시
실내체육관보조경기장,실내체육관,체육관,연중무휴,6:00,22:00,6:00,22:00,Y,,,,,,부산광역시 동래구 사직로 55-32,,부산광역시 체육시설관리사업소,051-500-2121,35.192311,129.060682,2021/03/23,"6260000",부산광역시
기장체육관주경기장,기장체육관,다목적경기장,연중무휴,6:00,22:00,6:00,22:00,Y,,,,,,부산광역시 기장군 기장읍 기장대로 650,,부산광역시 체육시설관리사업소,051-720-1211,35.25208099,129.223457,2021/03/23,"6260000",부산광역시
기장체육관보조경기장,기장체육관,다목적경기장,연중무휴,6:00,22:00,6:00,22:00,Y,,,,,,부산광역시 기장군 기장읍 기장대로 650,,부산광역시 체육시설관리사업소,051-720-1211,35.25208099,129.223457,2021/03/23,"6260000",부산광역시
강서체육공원 보조체육관(1층2층),강서체육공원,배드맨턴장,매주 월요일,6:00,22:00,6:00,22:00,Y,,,,,,부산광역시 강서구 체육공원로 43(대저1동),,부산광역시 체육시설관리사업소,051-970-1216,35.210957,128.972213,2021/03/23,"6260000",부산광역시
강서체육공원 보조체육관(2층),강서체육공원,체육관,매주 월요일,9:00,21:00,9:00,18:00,Y,,,,,,부산광역시 강서구 체육공원로 43(대저1동),,부산광역시 체육시설관리사업소,051-970-1216,35.210957,128.972213,2021/03/23,"6260000",부산광역시
테니스장,강서체육공원,테니스장,매주 월요일,6:00,22:00,6:00,22:00,Y,,,,,,부산광역시 강서구 체육공원로 43(대저1동),,부산광역시 체육시설관리사업소,051-970-1211,35.210957,128.972213,2021/03/23,"6260000",부산광역시
서수면사무소,본관옆,체육관,연중무휴,8:00,22:00,8:00,22:00,Y,"10",,,방문,,전라북도 군산시 서수면 항쟁로 193,전라북도 군산시 서수면 서수리 769-1,전라북도 군산시청,063-454-7134,35.983116,126.875633,2021/03/22,"4670000",전라북도 군산시
거제시종합운동장,거제시종합운동장,다목적경기장,무휴,5:00,23:00,5:00,23:00,Y,"15000","45261","음향시설, 조명시설(조명탑4기), 전광판, 관람석6,566석",인터넷,http://www.geojesp.co.kr/_sub02/img/img_0101.jpg,경상남도 거제시 계룡로 11길 26,경상남도 거제시 고현동 564,경상남도 거제시 거제해양관광개발공사,055-639-8130,34.88293254,128.6184465,2020/08/19,B552833,거제해양관광개발공사
거제시체육관,거제시체육관,다목적경기장,무휴,5:00,23:00,5:00,23:00,Y,"3000","3637","음향시설, 냉난방시설 8기, 조명시설(1KW 75개, 500W 62개), 관람석1,060석",인터넷,http://www.geojesp.co.kr/_sub02/img/img_0802.jpg,경상남도 거제시 계룡로 11길 35,경상남도 거제시 고현동 910,경상남도 거제시 거제해양관광개발공사,055-639-8130,34.88273388,128.6163077,2020/08/19,B552833,거제해양관광개발공사
고현보조운동장,고현보조운동장,다목적경기장,무휴,5:00,23:00,5:00,23:00,Y,"1000","19264",조명시설(조명탑4기),인터넷,http://www.geojesp.co.kr/_sub02/img/img_0402.jpg,경상남도 거제시 계룡로 11길 35,경상남도 거제시 고현동 910,경상남도 거제시 거제해양관광개발공사,055-639-8130,34.88273388,128.6163077,2020/08/19,B552833,거제해양관광개발공사
아주운동장,아주운동장,다목적경기장,무휴,5:00,23:00,5:00,23:00,Y,"8000","38741","음향시설, 조명시설(조명탑4기), 전광판",인터넷,http://www.geojesp.co.kr/_sub02/img/img_0502.jpg,경상남도 거제시 아주로 3길 55-1,경상남도 거제시 아주동 295-30,경상남도 거제시 거제해양관광개발공사,055-639-8130,34.8634862,128.6894943,2020/08/19,B552833,거제해양관광개발공사
둔덕가족생활체육공원,둔덕가족생활체육공원,다목적경기장,무휴,9:00,18:00,9:00,18:00,Y,"10000","26197","운동장 1면, 테니스장 2면, 관리동",인터넷,http://www.geojesp.co.kr/_sub02/img/img_21_01.jpg,경상남도 거제시 둔덕면 거제남서로 4557,경상남도 거제시 둔덕면 하둔리 632-1,경상남도 거제시 거제해양관광개발공사,055-639-8130,34.83433974,128.5041019,2020/08/19,B552833,거제해양관광개발공사
아주풋살장,아주풋살장,풋살경기장,무휴,5:00,23:00,5:00,23:00,Y,"50","5480",조명시설(조명탑4기),인터넷,http://www.geojesp.co.kr/_sub02/img/img_1002.jpg,경상남도 거제시 아주로 3길 55-1,경상남도 거제시 아주동 295-30,경상남도 거제시 거제해양관광개발공사,055-639-8130,34.8634862,128.6894943,2020/08/19,B552833,거제해양관광개발공사
송정그라운드골프장(풋살겸용),송정그라운드골프장(풋살겸용),풋살경기장,무휴,5:00,23:00,5:00,23:00,Y,"50","1959",조명등기구 set 6조,인터넷,http://www.geojesp.co.kr/_sub02/img/img_1601.JPG,경상남도 거제시 연초면 송정1길 49,경상남도 거제시 연초면 송정리 324,경상남도 거제시 거제해양관광개발공사,055-639-8130,34.912592,128.680721,2020/08/19,B552833,거제해양관광개발공사
송정족구장,송정족구장,족구장,무휴,5:00,23:00,5:00,23:00,Y,"50","2322",조명등기구 set 8조,인터넷,http://www.geojesp.co.kr/_sub02/img/img_1501.JPG,경상남도 거제시 연초면 송정1길 49,경상남도 거제시 연초면 송정리 324,경상남도 거제시 거제해양관광개발공사,055-639-8130,34.912592,128.680721,2020/08/19,B552833,거제해양관광개발공사
송정테니스장,송정테니스장,테니스장,무휴,5:00,23:00,5:00,23:00,Y,"50","2322",조명등기구 set 8조,인터넷,http://www.geojesp.co.kr/_sub02/img/img_1401.JPG,경상남도 거제시 연초면 송정1길 49,경상남도 거제시 연초면 송정리 325,경상남도 거제시 거제해양관광개발공사,055-639-8130,34.912592,128.680721,2020/08/19,B552833,거제해양관광개발공사
거제시립테니스장,거제시립테니스장,테니스장,무휴,5:00,23:00,5:00,23:00,Y,"200","7608",조명시설(조명탑6기),인터넷,http://www.geojesp.co.kr/_sub02/img/img_17.jpg,경상남도 거제시 계룡로 11길 27,경상남도 거제시 고현동 908,경상남도 거제시 거제해양관광개발공사,055-639-8130,34.8825434,128.6176491,2020/08/19,B552833,거제해양관광개발공사
송암스포츠타운 주경기장,송암스포츠타운 주경기장,축구장,코로나19 거리두기에 따른 휴관,0:00,0:00,0:00,0:00,Y,"20000","6163",,,,강원도 춘천시 스포츠타운길 136,,강원도 춘천시청,033-264-0660,37.855168,127.692816,2020/12/21,"4180000",강원도 춘천시
계룡시민체육관,시민체육관,다목적경기장,"-",6:00,22:00,6:00,22:00,Y,"2000","5143","다목적실,펜싱연습장 등","인터넷,방문",ac.gyeryong.go.kr,충청남도 계룡시 엄사면 계백로 2935,충청남도 계룡시 엄사면 유동리 269-1,계룡시청,042-840-3714,36.0778106,126.6898896,2020/10/22,"5580000",충청남도 계룡시
군산월명종합경기장,테니스장,테니스장,연중무휴,5:00,23:00,5:00,23:00,Y,"600",,,방문,,전라북도 군산시 번영로 281(사정동),전라북도 군산시 사정동 152,전라북도 군산시청,063-454-5572,35.962785,126.746037,2021/03/22,"4670000",전라북도 군산시
군산월명종합경기장,족구장,족구장,연중무휴,5:00,23:00,5:00,23:00,Y,"10",,,방문,,전라북도 군산시 번영로 281(사정동),전라북도 군산시 사정동 152,전라북도 군산시청,063-454-5572,35.962785,126.746037,2021/03/22,"4670000",전라북도 군산시
농소운동장,농소운동장,다목적경기장,"1.1,설연휴,추석연휴",6:00,22:00,6:00,22:00,Y,"2830","44135",인조구장+족구장+육상트랙,인터넷,,울산광역시 북구 호계로 180-14 (창평동),울산광역시 북구 창평동 391-1,울산광역시 북구시설관리공단,052-255-5545,35.621732,129.358776,2021/03/23,"6310000",울산광역시
중산다목적구장,중산다목적구장,다목적경기장,"1.1,설연휴,추석연휴",6:00,22:00,6:00,22:00,Y,"140","648",다목적구장,인터넷,,울산광역시 북구 산업로 1643(중산동),울산광역시 북구 중산동 798-2,울산광역시 북구시설관리공단,052-255-5545,35.659364,129.338983,2021/03/23,"6310000",울산광역시
염포운동장,염포운동장,다목적경기장,"1.1,설연휴,추석연휴",6:00,18:00,6:00,18:00,Y,"500","9822",인조구장+족구장,인터넷,,울산광역시 북구 중리8길 18-26 (염포동),울산광역시 북구 염포동 377,울산광역시 북구시설관리공단,052-255-5545,35.531448,129.395877,2021/03/23,"6310000",울산광역시
풍영체육시설단지 축구장,풍영체육시설단지,축구장,무,8:00,23:00,8:00,23:00,Y,"40","20",,인터넷,,광주광역시 광산구 풍영철길로 106-2,광주광역시 광산구 우산동 1541-2,광산구청,062-960-9924,35.16549552,126.8208378,2021/05/21,"3630000",광주광역시 광산구
풍영체육시설단지 농구장,풍영체육시설단지,농구장,무,8:00,19:00,8:00,19:00,N,"42","20",,인터넷,,광주광역시 광산구 풍영철길로 106-2,광주광역시 광산구 우산동 1541-2,광산구청,062-960-9924,35.16549552,126.8208378,2021/05/21,"3630000",광주광역시 광산구
풍영체육시설단지 족구장,풍영체육시설단지,족구장,무,8:00,19:00,8:00,19:00,N,"43","20",,인터넷,,광주광역시 광산구 풍영철길로 106-2,광주광역시 광산구 우산동 1541-2,광산구청,062-960-9924,35.16549552,126.8208378,2021/05/21,"3630000",광주광역시 광산구
풍영체육시설단지 배드민턴장,풍영체육시설단지,배드맨턴장,무,8:00,19:00,8:00,19:00,N,"44","20",,인터넷,,광주광역시 광산구 풍영철길로 106-2,광주광역시 광산구 우산동 1541-2,광산구청,062-960-9924,35.16549552,126.8208378,2021/05/21,"3630000",광주광역시 광산구
강서체육공원 보조체육관(1층2층),강서체육공원,배드맨턴장,매주 월요일,6:00,22:00,6:00,22:00,Y,,,,,,부산광역시 강서구 체육공원로 43(대저1동),,부산광역시 체육시설관리사업소,051-970-1216,35.210957,128.972213,2021/03/23,"6260000",부산광역시
강서체육공원 보조체육관(2층),강서체육공원,체육관,매주 월요일,9:00,21:00,9:00,18:00,Y,,,,,,부산광역시 강서구 체육공원로 43(대저1동),,부산광역시 체육시설관리사업소,051-970-1216,35.210957,128.972213,2021/03/23,"6260000",부산광역시
테니스장,강서체육공원,테니스장,매주 월요일,6:00,22:00,6:00,22:00,Y,,,,,,부산광역시 강서구 체육공원로 43(대저1동),,부산광역시 체육시설관리사업소,051-970-1211,35.210957,128.972213,2021/03/23,"6260000",부산광역시
아시아드주경기장,부산종합운동장,다목적경기장,연중무휴,6:00,18:00,6:00,22:00,Y,,,,,,부산광역시 연제구 월드컵대로 344,,부산광역시 체육시설관리사업소,051-500-2123,35.18945966,129.0555999,2021/03/23,"6260000",부산광역시
아시아드보조경기장,부산종합운동장,다목적경기장,연중무휴,6:00,22:00,6:00,22:00,Y,,,,,,부산광역시 연제구 월드컵대로 344,,부산광역시 체육시설관리사업소,051-500-2123,35.18942289,129.0556429,2021/03/23,"6260000",부산광역시
군산월명종합경기장,야구장,야구장,연중무휴,5:00,23:00,5:00,23:00,Y,"11000",,,방문,,전라북도 군산시 번영로 281(사정동),전라북도 군산시 사정동 152,전라북도 군산시청,063-454-5572,35.962785,126.746037,2021/03/22,"4670000",전라북도 군산시
군산월명종합경기장,실내체육관,체육관,연중무휴,5:00,23:00,5:00,23:00,Y,"10821",,,방문,,전라북도 군산시 번영로 281(사정동),전라북도 군산시 사정동 152,전라북도 군산시청,063-454-5574,35.962785,126.746037,2021/03/22,"4670000",전라북도 군산시
송암스포츠타운 야구장,송암스포츠타운 야구장,야구장,코로나19 거리두기에 따른 휴관,0:00,0:00,0:00,0:00,Y,"8160","9994",,,,강원도 춘천시 스포츠타운길 124,,강원도 춘천시청,033-250-3945,37.854383,127.6900502,2020/12/21,"4180000",강원도 춘천시
송암스포츠타운 족구장,송암스포츠타운 족구장,족구장,코로나19 거리두기에 따른 휴관,0:00,0:00,0:00,0:00,Y,"2500","354",,,,강원도 춘천시 송암길 47,,강원도 춘천시청,033-263-7302,37.852524,127.686842,2020/12/21,"4180000",강원도 춘천시
송암스포츠타운 테니스장,송암스포츠타운 테니스장,테니스장,코로나19 거리두기에 따른 휴관,0:00,0:00,0:00,0:00,Y,"3000","10817",,,,강원도 춘천시 스포츠타운길 124-1,,강원도 춘천시청,033-264-1660,37.8529369,127.693218,2020/12/21,"4180000",강원도 춘천시
송암스포츠타운 보조경기장,송암스포츠타운 보조경기장,축구장,코로나19 거리두기에 따른 휴관,0:00,0:00,0:00,0:00,Y,"500","130",,,,강원도 춘천시 스포츠타운길 136,,강원도 춘천시청,033-264-0660,37.855168,127.692816,2020/12/21,"4180000",강원도 춘천시
원통생활체육공원 농구장,농구장,농구장,연중무휴,9:00,22:00,9:00,22:00,Y,"200","600",,방문.전화,,강원도 인제군 북면 원통로117번길72,,강원도 인제군청,033-460-2331,38.12259859,128.1956952,2020/07/21,"4330000",강원도 인제군
계룡종합운동장,종합운동장,다목적경기장,"-",6:00,22:00,6:00,22:00,Y,"15000","28428","선수대기실,귀빈실 등","인터넷,방문",ac.gyeryong.go.kr,충청남도 계룡시 엄사면 계백로 2967,충청남도 계룡시 엄사면 유동리 279-2,계룡시청,042-840-3714,36.0778106,126.6898896,2020/10/22,"5580000",충청남도 계룡시
청량산캠핑장,청량산캠핑장,캠핑장,겨울(12~3월),0:00,0:00,0:00,0:00,Y,"138","12450",,인터넷,http://bonghwa.go.kr/open.content/camp/,경상북도 봉화군 명호면 광석길 13,경상북도 봉화군 명호면 관창리 1726-1,경상북도 봉화군청,054-679-6662,36.7870911,128.8916461,2021/04/19,"5240000",경상북도 봉화군
화봉다목적구장,화봉다목적구장,다목적경기장,"1.1,설연휴,추석연휴",9:00,18:00,6:00,18:00,Y,"200","924",다목적구장,인터넷,,울산광역시 북구 송내1길 15 (화봉동),울산광역시 북구 화봉동 445-1,울산광역시 북구시설관리공단,052-255-5545,35.589093,129.364558,2021/03/23,"6310000",울산광역시
달천운동장,달천운동장,다목적경기장,"1.1,설연휴,추석연휴",6:00,22:00,6:00,22:00,Y,"1610","21334",인조구장+족구장+육상트랙,인터넷,,울산광역시 북구 농서로 301(달천동),울산광역시 북구 달천동 75-1,울산광역시 북구시설관리공단,052-255-5545,35.629509,129.321787,2021/03/23,"6310000",울산광역시
효문운동장,효문운동장,다목적경기장,"1.1,설연휴,추석연휴",6:00,22:00,6:00,22:00,Y,"1540","15798",인조구장+인공암벽,인터넷,,북구 연암17길 20-1,울산광역시 북구 연암동 261-44,울산광역시 북구시설관리공단,052-255-5545,35.586943,129.371134,2021/03/23,"6310000",울산광역시
양정생활체육공원,양정생활체육공원,다목적경기장,"1.1,설연휴,추석연휴",6:00,22:00,6:00,22:00,Y,"1760","26013",인조구장+인라인스케이트장+마사구장,인터넷,,울산광역시 북구 오치골2길 25(양정동),울산광역시 북구 양정동 503-1,울산광역시 북구시설관리공단,052-255-5545,35.549242,129.3861847,2021/03/23,"6310000",울산광역시
시민생활체육관 체육관,시민생활체육관,체육관,"첫째, 셋째 일요일",6:00,21:00,9:00,18:00,Y,,"1583",,,,경상남도 창원시 성산구 원이대로 692,경상남도 창원시 성산구 상남동 43-1,창원시설공단,055-712-0775,35.222807,128.687812,2020/12/02,B553892,창원시설공단
창원시립테니스장 코트장,창원시립테니스장,테니스장,연중무휴,6:00,22:00,6:00,18:00,Y,"4838","66871",다목적 경기장,전화,,경상남도 창원시 성산구 비음로 25번길 17,경상남도 창원시 성산구 사파동 160-1,창원시설공단,055-712-0588,35.230524,128.697174,2020/12/02,B553892,창원시설공단
덕동시립테니스장,덕동시립테니스장,테니스장,연중무휴,9:00,22:00,8:00,18:00,Y,"48","24396",,"방문, 전화",,경상남도 창원시 마산합포구 가포로 789,경상남도 창원시 마산합포구 덕동동 692,창원시설공단,055-712-0865,35.133676,128.567531,2020/12/02,B553892,창원시설공단
원통게이트볼장,게이트볼장,다목적경기장,연중무휴,9:00,22:00,9:00,22:00,Y,"300","630",,방문.전화,,강원도 인제군 북면 원통로211번길 69,,강원도 인제군청,033-460-2331,38.1289253,128.2116549,2020/07/21,"4330000",강원도 인제군
창원체육관 보조경기장(배드민턴장),창원스포츠파크,배드맨턴장,일요일,6:00,22:00,6:00,20:00,Y,"1000","1489","엠프, 스피커, 샤워실, 라커룸","방문,전화",,경상남도 창원시 성산구 원이대로 450,경상남도 창원시 성산구 중앙동 1,창원시설공단,055-712-0579,35.234151,128.664204,2020/12/02,B553892,창원시설공단
가평체육관,가평군 가평읍,체육관,"매월 둘째, 넷째 월요일",5:30,22:00,5:30,22:00,Y,,,,,,경기도 가평군 가평읍 문화로 131,경기도 가평군 가평읍 대곡리 316번지,가평군 시설관리공단,031-8078-8084,37.825131,127.5062327,2020/05/29,"4160000",경기도 가평군
가평종합운동장,가평군 가평읍,다목적경기장,연중무휴,6:00,22:00,6:00,22:00,Y,,"1314",,,,경기도 가평군 가평읍 문화로 131,경기도 가평군 가평읍 대곡리 316번지,가평군 시설관리공단,031-8078-8071,37.825131,127.506232,2020/05/29,"4160000",경기도 가평군
가평생활체육공원,가평군 가평읍,다목적경기장,연중무휴,0:00,22:00,0:00,22:00,N,,"106224",,,,경기도 가평군 가평읍 문화로 131,경기도 가평군 가평읍 대곡리 316번지,가평군 시설관리공단,031-8078-8084,37.825131,127.5062327,2020/05/29,"4160000",경기도 가평군
조종생활체육공원,가평군 조종면,다목적경기장,연중무휴,0:00,22:00,0:00,22:00,N,,"12290",,,,경기도 가평군 조종면 조종희망로26번길 16,경기도 가평군 조종면 현리 420-12번지,가평군 시설관리공단,031-8078-8089,37.8185011,127.352238,2020/05/29,"4160000",경기도 가평군
조종국민체육센터,가평군 조종면,체육관,매주 일요일 공휴일,6:00,21:00,6:00,21:00,Y,,"1114",,,,경기도 가평군 조종면 조종희망로26번길 16,경기도 가평군 조종면 현리 420-12번지,가평군 시설관리공단,031-8078-8089,37.8185011,127.352238,2020/05/29,"4160000",경기도 가평군
인제체육관,체육관,체육관,연중무휴,9:00,22:00,9:00,22:00,Y,"749","1152",,방문.전화,,강원도 인제군 인제읍 비봉로44번길 113,,강원도 인제군청,033-460-2281,38.0579851,128.1654957,2020/07/21,"4330000",강원도 인제군
인제공설운동장,운동장,다목적경기장,연중무휴,9:00,22:00,9:00,22:00,Y,"500","7140",,방문.전화,,강원도 인제군 인제읍 인제로 249번길 22,,강원도 인제군청,033-460-2281,38.0741321,128.1776399,2020/07/21,"4330000",강원도 인제군
인제테니스장,테니스,테니스장,연중무휴,9:00,22:00,9:00,22:00,Y,"500","6935",,방문.전화,,강원도 인제군 인제읍 비봉로44번길 113,,강원도 인제군청,033-460-2281,38.0579851,128.1654957,2020/07/21,"4330000",강원도 인제군
서화운동장,게이트볼,다목적경기장,연중무휴,9:00,22:00,9:00,22:00,Y,"270","7140",,방문.전화,,강원도 인제군 서화면 금강로 1501,,강원도 인제군청,033-460-2351,38.22866492,128.2073517,2020/07/21,"4330000",강원도 인제군
서화테니스장,테니스장,테니스장,연중무휴,9:00,22:00,9:00,22:00,Y,"150","1400",,방문.전화,,강원도 인제군 서화면 금강로 1422,,강원도 인제군청,033-460-2351,38.2232563,128.2078746,2020/07/21,"4330000",강원도 인제군
기린생활체육공원 풋살구장,풋살장,풋살경기장,연중무휴,9:00,22:00,9:00,22:00,Y,"200","1070",,방문.전화,,강원도 인제군 기린면 덕다리길 31,,강원도 인제군청,033-460-2341,37.9477696,128.3144368,2020/07/21,"4330000",강원도 인제군
기린생활체육공원 게이트볼장,게이트볼장,다목적경기장,연중무휴,9:00,22:00,9:00,22:00,Y,"300","600",,방문.전화,,강원도 인제군 기린면 덕다리길 31,,강원도 인제군청,033-460-2341,37.9477696,128.3144368,2020/07/21,"4330000",강원도 인제군
기린생활체육공원 운동장,운동장,다목적경기장,연중무휴,9:00,22:00,9:00,22:00,Y,"450","5700",,방문.전화,,강원도 인제군 기린면 덕다리길 31,,강원도 인제군청,033-460-2341,37.9477696,128.3144368,2020/07/21,"4330000",강원도 인제군
인제다목적구장,다목적구장,다목적경기장,연중무휴,9:00,22:00,9:00,22:00,Y,"900","2695",,방문.전화,,강원도 인제군 인제읍 비봉로44번길 113,,강원도 인제군청,033-460-2281,38.0579851,128.1654957,2020/07/21,"4330000",강원도 인제군
기린생활체육공원 테니스장,테니스장,테니스장,연중무휴,9:00,22:00,9:00,22:00,Y,"300","1400",,방문.전화,,강원도 인제군 기린면 덕다리길 31,,강원도 인제군청,033-460-2341,37.9477696,128.3144368,2020/07/21,"4330000",강원도 인제군
원통생활체육공원 족구장,족구장,다목적경기장,연중무휴,9:00,22:00,9:00,22:00,Y,"100","500",,방문.전화,,강원도 인제군 북면 원통로117번길72,,강원도 인제군청,033-460-2331,38.12259859,128.1956952,2020/07/21,"4330000",강원도 인제군
원통생활체육공원 풋살구장,풋살장,풋살경기장,연중무휴,9:00,22:00,9:00,22:00,Y,"200","1070",,방문.전화,,강원도 인제군 북면 원통로117번길72,,강원도 인제군청,033-460-2331,38.12259859,128.1956952,2020/07/21,"4330000",강원도 인제군
원통생활체육공원 운동장,운동장,풋살경기장,연중무휴,9:00,22:00,9:00,22:00,Y,"220","7140",,방문.전화,,강원도 인제군 북면 원통로117번길72,,강원도 인제군청,033-460-2331,38.12259859,128.1956952,2020/07/21,"4330000",강원도 인제군
원통생활체육공원 테니스장,테니스장,테니스장,연중무휴,9:00,22:00,9:00,22:00,Y,"400","2600",,방문.전화,,강원도 인제군 북면 원통로117번길72,,강원도 인제군청,033-460-2331,38.12259859,128.1956952,2020/07/21,"4330000",강원도 인제군
신남게이트볼장,게이트볼,다목적경기장,연중무휴,9:00,22:00,9:00,22:00,Y,"100","496",,방문.전화,,강원도 인제군 남면 신남로 154,,강원도 인제군청,033-460-2321,37.9734665,128.0864671,2020/07/21,"4330000",강원도 인제군
신남풋살구장,풋살장,풋살경기장,연중무휴,9:00,22:00,9:00,22:00,Y,"200","1070",,방문.전화,,강원도 인제군 남면 신남로48번길 15,,강원도 인제군청,033-460-2321,37.9666176,128.080575,2020/07/21,"4330000",강원도 인제군
남면생활체육공원 다목적체육관,다목적구장,다목적경기장,연중무휴,9:00,22:00,9:00,22:00,Y,"400","792",,방문.전화,,강원도 인제군 남면 신남로30번길 30-10,,강원도 인제군청,033-460-2321,37.9647086,128.0815323,2020/07/21,"4330000",강원도 인제군
남면생활체육공원 족구장,족구장,다목적경기장,연중무휴,9:00,22:00,9:00,22:00,Y,"100","500",,방문.전화,,강원도 인제군 남면 신남로30번길 30-10,,강원도 인제군청,033-460-2321,37.9647086,128.0815323,2020/07/21,"4330000",강원도 인제군
남면생활체육공원 운동장,운동장,다목적경기장,연중무휴,9:00,22:00,9:00,22:00,Y,"380","7140",,방문.전화,,강원도 인제군 남면 신남로30번길 30-10,,강원도 인제군청,033-460-2321,37.9647086,128.0815323,2020/07/21,"4330000",강원도 인제군
남면생활체육공원 테니스장,테니스,다목적경기장,연중무휴,9:00,22:00,9:00,22:00,Y,"700","2948",,방문.전화,,강원도 인제군 남면 신남로30번길 30-10,,강원도 인제군청,033-460-2321,37.9647086,128.0815323,2020/07/21,"4330000",강원도 인제군
